fecha,instrumento,abono_clp
2025-01-10,CFMDIVO,72
2025-01-15,CFMDIVO,47
2025-01-24,CFMDIVO,103
2025-01-31,CFMDIVO,180
2025-03-27,CFMDIVO,853
2025-03-28,CFINRENTAS,312
2025-03-31,CFMDIVO,3
2025-04-09,CFMDIVO,210
2025-04-28,CFMDIVO,69
2025-04-29,CFMDIVO,508
2025-04-30,CFINRENTAS,1536
2025-04-30,CFMDIVO,12
2025-04-30,CFMDIVO,116
2025-05-02,CFMDIVO,45
2025-05-05,CFMDIVO,16
2025-05-06,CFMDIVO,22
2025-05-07,CFMDIVO,19
2025-05-08,CFMDIVO,73
2025-05-08,CFMDIVO,11
2025-05-09,CFMDIVO,37
2025-05-15,CFMDIVO,27
2025-05-16,CFMDIVO,374
2025-05-16,CFMDIVO,22
2025-05-23,CFMDIVO,414
2025-05-23,CFMDIVO,18
2025-06-04,CFMDIVO,5
2025-06-25,CFISPETF,58
2025-06-30,CFINRENTAS,975
2025-09-04,CFMDIVO,10
2025-09-11,CFMDIVO,2
2025-09-30,CFINRENTAS,1275
2025-09-30,CFMDIVO,7
2025-10-23,CFMDIVO,67
2025-11-20,CFMDIVO,70
2025-11-27,CFMDIVO,36
2025-11-27,CFMDIVO,2
2025-12-05,CFMITNIPSA,25
2025-12-09,CFMITNIPSA,14
2025-12-12,CFMITNIPSA,39
2025-12-18,CFMITNIPSA,24
2025-12-18,CFMITNIPSA,34
2025-12-18,CFMITNIPSA,11
2025-12-23,CFINRENTAS,1275
2025-12-23,CFMITNIPSA,219
2025-12-29,CFMITNIPSA,3
2026-01-23,CFMITNIPSA,28
2026-01-23,CFMITNIPSA,29
2026-03-26,CFMITNIPSA,839
2026-03-31,CFINRENTAS,1050
2026-03-31,CFMITNIPSA,4
2026-04-02,CFMITNIPSA,55
2026-04-02,CFMITNIPSA,48
2026-04-02,CFMITNIPSA,78
2026-04-09,CFMITNIPSA,213
2026-04-21,CFMITNIPSA,152
2026-04-24,CFMITNIPSA,3
2026-04-24,CFMITNIPSA,14
2026-04-24,CFMITNIPSA,20
2026-04-29,CFMITNIPSA,28
2026-04-29,CFMITNIPSA,26
2026-04-30,CFINRENTAS,5550
2026-04-30,CFMITNIPSA,34
2026-04-30,CFMITNIPSA,50
2026-05-06,CFMITNIPSA,26
2026-05-06,CFMITNIPSA,7
2026-05-06,CFMITNIPSA,375
2026-05-12,CFMITNIPSA,13
2026-05-12,CFMITNIPSA,19
2026-05-14,CFMITNIPSA,24
2026-05-14,CFMITNIPSA,236
2026-05-14,CFMITNIPSA,27
2026-05-14,CFMITNIPSA,19
2026-05-14,CFMITNIPSA,55
2026-05-14,CFMITNIPSA,74
2026-05-14,CFMITNIPSA,56
2026-05-15,CFMITNIPSA,10
2026-05-15,CFMITNIPSA,32
2026-05-15,CFMITNIPSA,147
2026-05-20,CFMITNIPSA,56
2026-05-20,CFMITNIPSA,122
2026-05-20,CFMITNIPSA,33
2026-05-20,CFMITNIPSA,42
2026-05-20,CFMITNIPSA,28
2026-05-20,CFMITNIPSA,64
2026-05-27,CFMITNIPSA,44
2026-05-28,CFMITNIPSA,26
2026-05-28,CFMITNIPSA,50
2026-06-04,CFMITNIPSA,42
